Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent
Adolfos Catfish,/species-spotlight/adolfos-catfish/,Corydorasadolfoi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.0,11.0,22.5,6.0,SA
Adonis Tetra,/species-spotlight/adonis-tetra/,Lepidarchusadonis,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.5,7.0,23.9,2.1,AF
African Banded Barb,/species-spotlight/african-banded-barb/,Barbusfasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,23.9,6.0,AF
African Butterfly Cichlid,/species-spotlight/african-butterfly-cichlid/,Anomalochromisthomasi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.5,7.5,24.75,8.0,AF
African Glass Catfish,/species-spotlight/african-glass-catfish/,Pareutropiusdebauwi,Actinopterygii,Siluriformes,Schilbeidae,Peaceful,Bottom - Middle,Omnivore,7.0,10.0,25.3,10.0,AF
African Moon Tetra,/species-spotlight/african-moon-tetra/,Bathyaethiopscaudomaculatus,Actinopterygii,Characiformes,Alestidae,Peaceful,Top,Omnivore,6.75,8.5,23.9,8.0,AF
African Red Eyed Tetra,/species-spotlight/african-red-eyed-tetra/,Arnoldichthysspilopterus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,25.3,8.0,AF
Agassizs Corydoras,/species-spotlight/agassizs-corydoras/,Corydorasagassizii,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA
Albino Corydoras,/species-spotlight/albino-corydoras/,Corydorasaeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.15,7.0,SA
Amano Shrimp,/species-spotlight/amano-shrimp/,Caridinamultidentata,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,7.25,10.0,23.9,6.0,AS
Amazon Zebra Shrimp,/species-spotlight/amazon-zebra-shrimp/,Euryrhynchusamazoniensis,Malacostraca,Decapoda,Euryrhynchidae,Peaceful,All Levels,Omnivore,5.25,6.0,28.0,3.0,SA
American Flagfish,/species-spotlight/american-flagfish/,Jordanellafloridae,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Semi-Aggressive,Middle - Top,Omnivore,7.5,12.5,23.9,7.0,NAM
Apple Snail,/species-spotlight/apple-snail/,"Pomaceabridgesii,Pomaceacanaliculata,Pomaceadiffusa,Pomaceahaustrum,Pomaceapaludosa,Pomaceamaculata",Gastropoda,Architaenioglossa,Ampullariidae,Peaceful,All Levels,Omnivore,7.25,9.0,23.05,15.0,NAM
Araguaia Corydoras,/species-spotlight/araguaia-corydoras/,Corydorasaraguaiaensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,7.0,13.5,23.5,6.0,SA
