Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z,Nearest Neighbors 1,Nearest Neighbors 2,Nearest Neighbors 3,Nearest Neighbors 4,Nearest Neighbors 5
Adolfos Catfish,/species-spotlight/adolfos-catfish/,Corydorasadolfoi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.0,11.0,22.5,6.0,SA,-12.859178,-0.15755418,-0.080757335,Flag Tailed Panda Corydoras,Panda Corydoras,Venezuelan Orange Corydoras,Peppered Corydoras,Bandit Corydoras
Adonis Tetra,/species-spotlight/adonis-tetra/,Lepidarchusadonis,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.5,7.0,23.9,2.1,AF,-8.5243435,6.2852025,0.017962508,Jellybean Tetra,Phoenix Rasbora,Siamese Dwarf Rasbora,Strawberry Rasbora,Neon Green Rasbora
African Banded Barb,/species-spotlight/african-banded-barb/,Barbusfasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,23.9,6.0,AF,-6.698397,3.8221664,0.1417667,Black Line Rasbora,Laos Danio,Red Line Rasbora,Fireline Danio,Snakeskin Barb
African Butterfly Cichlid,/species-spotlight/african-butterfly-cichlid/,Anomalochromisthomasi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.5,7.5,24.75,8.0,AF,-6.8605866,2.2311425,-1.6018476,Panda Garra,Odessa Barb,Chinese Neon Golden Stripe Shark,Pentazona Barb,Electric Blue Ram Cichlid
African Glass Catfish,/species-spotlight/african-glass-catfish/,Pareutropiusdebauwi,Actinopterygii,Siluriformes,Schilbeidae,Peaceful,Bottom - Middle,Omnivore,7.0,10.0,25.3,10.0,AF,-6.5098,0.13995971,-0.14407109,Blue Eyed Congo Tetra,Blood Tailed Danio,Cockatoo Dwarf Cichlid,Kribensis Cichlid,Giant Danio
African Moon Tetra,/species-spotlight/african-moon-tetra/,Bathyaethiopscaudomaculatus,Actinopterygii,Characiformes,Alestidae,Peaceful,Top,Omnivore,6.75,8.5,23.9,8.0,AF,-6.258484,2.168331,0.18036494,Gold Striped Danio,Redfin Congo Tetra,Pentazona Barb,Black Barred Danio,Laos Danio
African Red Eyed Tetra,/species-spotlight/african-red-eyed-tetra/,Arnoldichthysspilopterus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,25.3,8.0,AF,-6.925815,1.0405169,1.672094,Barred Danio,Congo Tetra,Transvestite Dwarf Cichlid,Giant Danio,Redfin Congo Tetra
Agassizs Corydoras,/species-spotlight/agassizs-corydoras/,Corydorasagassizii,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA,-12.614343,-2.2511742,1.8981618,False Network Corydoras,Vulcan Corydoras,False Bandit Corydoras,Elegant Corydoras,Blacktop Corydoras
Albino Corydoras,/species-spotlight/albino-corydoras/,Corydorasaeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.15,7.0,SA,-12.489769,0.089363396,-1.7369341,Desana Corydoras,Green Laser Corydoras,Fulleri Corydoras,Super Parallelus Corydoras,Bronze Corydoras
Amano Shrimp,/species-spotlight/amano-shrimp/,Caridinamultidentata,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,7.25,10.0,23.9,6.0,AS,-4.6589313,6.8165903,2.3629978,Bloody Mary Shrimp,Orange Rili Shrimp,Wild Type Tiger Shrimp,Tangerine Tiger Shrimp,Indian Hifin Barb
Amazon Zebra Shrimp,/species-spotlight/amazon-zebra-shrimp/,Euryrhynchusamazoniensis,Malacostraca,Decapoda,Euryrhynchidae,Peaceful,All Levels,Omnivore,5.25,6.0,28.0,3.0,SA,-6.565974,10.608845,-1.3988378,Blue Leg Poso Sulawesi Shrimp,Sulawesi Red Line Shrimp,Sulawesi Harlequin Shrimp,Yellow Nose Sulawesi Shrimp,Sulawesi Fan Shrimp
