Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Adolfos Catfish,/species-spotlight/adolfos-catfish/,Corydorasadolfoi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.0,11.0,22.5,6.0,SA,-12.859178,-0.15755418,-0.080757335
Adonis Tetra,/species-spotlight/adonis-tetra/,Lepidarchusadonis,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.5,7.0,23.9,2.1,AF,-8.5243435,6.2852025,0.017962508
African Banded Barb,/species-spotlight/african-banded-barb/,Barbusfasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,23.9,6.0,AF,-6.698397,3.8221664,0.1417667
African Butterfly Cichlid,/species-spotlight/african-butterfly-cichlid/,Anomalochromisthomasi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.5,7.5,24.75,8.0,AF,-6.8605866,2.2311425,-1.6018476
African Glass Catfish,/species-spotlight/african-glass-catfish/,Pareutropiusdebauwi,Actinopterygii,Siluriformes,Schilbeidae,Peaceful,Bottom - Middle,Omnivore,7.0,10.0,25.3,10.0,AF,-6.5098,0.13995971,-0.14407109
African Moon Tetra,/species-spotlight/african-moon-tetra/,Bathyaethiopscaudomaculatus,Actinopterygii,Characiformes,Alestidae,Peaceful,Top,Omnivore,6.75,8.5,23.9,8.0,AF,-6.258484,2.168331,0.18036494
African Red Eyed Tetra,/species-spotlight/african-red-eyed-tetra/,Arnoldichthysspilopterus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,25.3,8.0,AF,-6.925815,1.0405169,1.672094
Agassizs Corydoras,/species-spotlight/agassizs-corydoras/,Corydorasagassizii,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA,-12.614343,-2.2511742,1.8981618
Albino Corydoras,/species-spotlight/albino-corydoras/,Corydorasaeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.15,7.0,SA,-12.489769,0.089363396,-1.7369341
Amano Shrimp,/species-spotlight/amano-shrimp/,Caridinamultidentata,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,7.25,10.0,23.9,6.0,AS,-4.6589313,6.8165903,2.3629978
